name,structural_integrity,cohesiveness,artistic_merit,teachability,mean_score,notes
R.L. Stevenson - Strange Case of Dr Jekyll and Mr Hyde,5,5,5,5,5.00,Duality IS the structure; revelation structure perfect; compact
R.L. Stevenson - Treasure Island,4,5,4,5,4.50,Adventure perfected; voice carries everything; highly teachable
Ralph Waldo Emerson - Self-Reliance Experience,4,4,5,4,4.25,Aphoristic structure; ideas generate form; transcendentalist anchor
René Descartes - Meditations on First Philosophy,5,5,4,5,4.75,Doubt structure generates everything; each meditation necessary
Robert Boyle - The Sceptical Chymist,3,4,3,3,3.25,Dialogue form; scientific argument; period prose
Robert Hooke - Micrographia,4,4,4,4,4.00,Observation structure; scientific wonder; prose quality high
Rubaiyat of Omar Khayyam,4,5,5,5,4.75,Quatrain structure; Fitzgerald's translation as English art; compression
Rudyard Kipling - Just So Stories,4,5,4,5,4.50,Origin story form consistent; voice extraordinary; rhythmic
Rudyard Kipling - Kim,4,4,4,3,3.75,India as structure; picaresque; cultural context helpful
Rudyard Kipling - The Jungle Book,4,5,4,5,4.50,Law of the Jungle IS structure; interconnected stories; teachable
Sei Shōnagon - The Pillow Book,4,4,5,4,4.25,List form IS the aesthetic; Heian court as generative constraint
Shakespeare - Hamlet,5,5,5,5,5.00,Anchor text; delay IS the structure; every line load-bearing
Shakespeare - King Lear,5,5,5,4,4.75,Double plot structure; storm IS the mind; devastating
Shakespeare - Macbeth,5,5,5,5,5.00,Compression exemplary; shortest major tragedy; every word necessary
Shakespeare - Othello,5,5,5,5,5.00,Jealousy generates the plot; Iago's rhetoric structural
Shakespeare - Sonnets,5,5,5,5,5.00,Form IS content; volta as structural unit; sequence architecture
Shakespeare - The Tempest,5,5,5,5,5.00,Meta-theatrical structure; magic IS art; farewell to theater
Sigmund Freud - The Interpretation of Dreams,4,4,4,3,3.75,Dream logic as argumentative structure; case studies embedded
Sir Gawain and the Green Knight (Middle English),5,5,5,4,4.75,Alliterative verse; bob-and-wheel structure; exchange game IS the plot
Snorri Sturluson — - The Prose Edda Poetic Edda,4,4,5,3,4.00,Mythological structure; compilation; cultural context helpful
Sun Tzu - The Art of War,5,5,4,5,4.75,Perfect compression; each chapter necessary; austerity as achievement
Theodore Parker - Speeches and Sermons Vol. 1,3,3,3,3,3.00,Sermonic; period oratory; consistent but not exceptional
Thomas De Quincey - Confessions of an English Opium-Eater,4,4,5,4,4.25,Altered consciousness generates form; digressive by design
Thomas Hobbes - Leviathan (selections),4,4,3,3,3.50,Political philosophy; mechanical argument; selections needed
Thomas Huxley - Man's Place in Nature,4,4,3,4,3.75,Scientific argument clear; evolutionary structure
Thomas Paine - Common Sense,5,5,4,5,4.75,Rhetorical structure exemplary; argument compressed; revolutionary
Thomas à Kempis - The Imitation of Christ,4,5,4,4,4.25,Devotional structure sustained; voice consistent; meditative
Thucydides - History of the Peloponnesian War,5,5,4,3,4.25,Historical method IS the structure; speeches embedded; translation dependent
Vernon Lee - Hauntings,3,4,4,4,3.75,Ghost stories; aesthetic theory embedded; atmospheric
Virgil - Aeneid,5,5,5,4,4.75,Epic structure; every book necessary; destiny as structural principle
Virginia Woolf - Mrs Dalloway,5,5,5,4,4.75,Stream of consciousness IS structure; single day contains everything
Voltaire - Candide,5,5,5,5,5.00,Satirical structure perfect; journey generates philosophy; compressed
W.E.B. Du Bois - The Souls of Black Folk,5,5,5,4,4.75,Double consciousness IS the structure; music as organizing principle
Walt Whitman - Leaves of Grass (1855 edition),5,5,5,4,4.75,Catalog IS the form; democratic structure; self-generating
Walter Pater - The Renaissance,4,5,5,4,4.50,Aesthetic criticism; prose as art; conclusion exemplary
Wassily Kandinsky - Concerning the Spiritual in Art,4,4,4,4,4.00,Art theory as spiritual argument; synesthetic structure
Webster - Unabridged Dictionary 1913,2,5,2,4,3.25,Calibration text; alphabetical structure inherited; definitional coherence high; no artistic merit; needs heavy downweighting at 9.3M tokens
Wharton - The Age of Innocence,5,5,5,4,4.75,Social constraint IS the form; irony structural
Wharton - The House of Mirth,5,5,5,4,4.75,Descent structure; every social scene load-bearing
Willa Cather - My Ántonia,4,5,5,4,4.50,Memory structure; landscape as character; voice extraordinary
William Harvey - On the Motion of the Heart and Blood,4,4,3,4,3.75,Experimental reasoning structure; landmark but period prose
William James - Principles of Psychology Vol. 1,4,4,4,3,3.75,Stream of consciousness coined; systematic but sprawling
William James - Principles of Psychology Vol. 2,3,4,3,3,3.25,Continuation; less essential; completist
William James - The Varieties of Religious Experience,5,4,5,4,4.50,Case study structure; pragmatic method applied to religion
